artifact,group_field,group_value,records,generated_at
outputs_repositorios_cchen_master,source_key,core,16,2026-05-19T21:02:43
outputs_repositorios_cchen_master,source_key,doaj,25,2026-05-19T21:02:43
outputs_repositorios_cchen_master,source_key,hal,11,2026-05-19T21:02:43
outputs_repositorios_cchen_master,source_key,zenodo,14,2026-05-19T21:02:43
outputs_repositorios_cchen_master,review_decision,descartar_ruido,10,2026-05-19T21:02:43
outputs_repositorios_cchen_master,review_decision,mantener_baja_prioridad,7,2026-05-19T21:02:43
outputs_repositorios_cchen_master,review_decision,mantener_indirecto,1,2026-05-19T21:02:43
outputs_repositorios_cchen_master,review_decision,publicar_recurrente,48,2026-05-19T21:02:43
outputs_repositorios_cchen_master,publish_scope,auditoria_no_tablero_principal,8,2026-05-19T21:02:43
outputs_repositorios_cchen_master,publish_scope,no_publicar,10,2026-05-19T21:02:43
outputs_repositorios_cchen_master,publish_scope,tablero_principal,48,2026-05-19T21:02:43
outputs_repositorios_cchen_master,output_kind,dataset,4,2026-05-19T21:02:43
outputs_repositorios_cchen_master,output_kind,output_repositorio,1,2026-05-19T21:02:43
outputs_repositorios_cchen_master,output_kind,presentacion,1,2026-05-19T21:02:43
outputs_repositorios_cchen_master,output_kind,publicacion_fulltext_pdf,14,2026-05-19T21:02:43
outputs_repositorios_cchen_master,output_kind,publicacion_repositorio,38,2026-05-19T21:02:43
outputs_repositorios_cchen_master,output_kind,tesis,1,2026-05-19T21:02:43
outputs_repositorios_cchen_master,output_kind,tratamiento_taxonomico,7,2026-05-19T21:02:43
outputs_repositorios_cchen_master,theme,dataset_repositorio,1,2026-05-19T21:02:43
outputs_repositorios_cchen_master,theme,falso_positivo_alias,7,2026-05-19T21:02:43
outputs_repositorios_cchen_master,theme,fisica_plasma_espacial,6,2026-05-19T21:02:43
outputs_repositorios_cchen_master,theme,historia_institucional_nuclear,1,2026-05-19T21:02:43
outputs_repositorios_cchen_master,theme,materiales_energia_tierras_raras,8,2026-05-19T21:02:43
outputs_repositorios_cchen_master,theme,nuclear_general_cchen,5,2026-05-19T21:02:43
outputs_repositorios_cchen_master,theme,nuclear_plasma_reactores,17,2026-05-19T21:02:43
outputs_repositorios_cchen_master,theme,produccion_cchen_baja_prioridad,10,2026-05-19T21:02:43
outputs_repositorios_cchen_master,theme,publicacion_output,1,2026-05-19T21:02:43
outputs_repositorios_cchen_master,theme,radiofarmacia_medicina_nuclear,3,2026-05-19T21:02:43
outputs_repositorios_cchen_master,theme,radioproteccion_dosimetria_radiacion,5,2026-05-19T21:02:43
outputs_repositorios_cchen_master,theme,ruido_editorial,2,2026-05-19T21:02:43
outputs_repositorios_cchen_master,preferred_record,False,2,2026-05-19T21:02:43
outputs_repositorios_cchen_master,preferred_record,True,64,2026-05-19T21:02:43
