seed_key,seed_label,source_system,source_id,doi,pmid,pmcid,title,authors,journal,year,url,abstract,query,fetched_at
f18_fdg,F-18 FDG / Fludeoxyglucose,EuropePMC,MED41875574,10.1016/j.apradiso.2026.112563,41875574,,Environmental and operational factors affecting 17-month routine &lt;sup&gt;18&lt;/sup&gt;F-FDG production: Impact of final purification water cooling and process optimization.,"Yamaguchi H, Maeda K, Kato M, Higaki A, Hamajima Y.",,2026,https://europepmc.org/article/MED/41875574,"<h4>Background</h4>In-house ^18F-FDG production is increasingly adopted by hospitals, yet few studies have quantified how environmental and operational factors influence radiochemical yield during real-world clinical operation. In May 2024, our institution launched a new cyclotron facility where all technologists had no prior experience in FDG manufacturing. This study evaluates 17 months of continuous production to identify factors associated with yield stability.<h4>Methods</h4>A total of 17 months of consecutive production records were analyzed using a cyclotron (HM-12S) and an automated synthesizer (F300). Environmental variables included ambient temperature, humidity, and weather (Sunny/Cloudy/Rainy). The cooling condition (room temperature vs 4 °C) and implementation of a line-drying procedure were also evaluated. FDG yield, non-decay-corrected to end of bombardment (EOB), was analyzed using univariate comparisons and multivariate linear regression.<h4>Results</h4>Temperature and humidity showed weak but consistent correlations with yield (R<sup>2</sup> < 0.1). Weather demonstrated minimal direct impact. Cooling showed no statistically significant effect but slightly reduced variability, while the drying procedure resulted in a modest improvement in median yield and a reduction in variability. A full multivariate model revealed that no single factor strongly predicted yield; however, the combined contribution of environmental parameters and operational refinements explained a meaningful portion of yield stabilization over time. Notably, FDG production was completed without cancellation throughout the study period.<h4>Conclusion</h4>Although individual environmental and operational factors exhibited only small effects on ^18F-FDG yield, their combined influence contributed to greater production stability. This multivariate approach provides practical insights for newly established hospital cyclotron facilities and supports systematic optimization in real-world ","(""Fluorodeoxyglucose F18"" OR ""Fludeoxyglucose F 18"" OR ""F-18 FDG"" OR ""18F-FDG"" OR FDG) AND (CCHEN OR Chile OR ""Latin America"" OR ""medical cyclotron"" OR ""hospital cyclotron"" OR ""isotope production"")",2026-05-19
f18_fdg,F-18 FDG / Fludeoxyglucose,EuropePMC,MED41861235,10.1097/md.0000000000048083,41861235,PMC13008224,Small- to medium-sized arteritis diagnosed by F-18 FDG PET/CT: A case report.,"Oh SM, Lim ST, Jeong HJ, Han YH.",,2026,https://europepmc.org/article/MED/41861235,"<h4>Rationale</h4>Early diagnosis of arteritis is challenging due to nonspecific symptoms and often requires invasive procedures. This case illustrates the utility of F-18 FDG PET/CT as a noninvasive imaging modality for identifying inflammatory vascular diseases, thereby facilitating timely treatment and avoiding unnecessary interventions.<h4>Patient concerns</h4>A 65-year-old man presented to the emergency department with a persistent fever and generalized muscle pain lasting for 3 weeks.<h4>Diagnoses</h4>F-18 FDG PET/CT revealed linear and branching tree-like patterns of hypermetabolism in the arteries of both arms and thighs, leading to the diagnosis of arteritis.<h4>Interventions</h4>Following the rheumatologist's recommendation, intravenous prednisolone therapy was initiated.<h4>Outcomes</h4>Shortly after starting prednisolone therapy, his fever subsided and muscle pain resolved.<h4>Lessons</h4>This case highlights the valuable role of F-18 FDG PET/CT in diagnosing small- to medium-sized arteritis, providing a noninvasive approach that can help avoid unnecessary procedures and inappropriate use of antibiotics, while also enabling objective monitoring of treatment response.","(""Fluorodeoxyglucose F18"" OR ""Fludeoxyglucose F 18"" OR ""F-18 FDG"" OR ""18F-FDG"" OR FDG) AND (CCHEN OR Chile OR ""Latin America"" OR ""medical cyclotron"" OR ""hospital cyclotron"" OR ""isotope production"")",2026-05-19
f18_fdg,F-18 FDG / Fludeoxyglucose,EuropePMC,MED41787024,10.1186/s41824-026-00295-7,41787024,PMC12963560,"The analysis of biodistribution and tumor uptake of [&lt;sup&gt;18&lt;/sup&gt;F]AlF-FAPI-74 in patients with soft tissue sarcoma and gastro-intestinal tumors compared with [&lt;sup&gt;18&lt;/sup&gt;F]FDG in a prospective, exploratory study.","Novruzov E, Giesel FL, Mamlins E, Watabe T, Cardinale J, Antke C, Mori Y, Schupps N, Pinto C, Soza-Ried C, Fernandez R, Amaral H, Kramer V, Badinez L.",,2026,https://europepmc.org/article/MED/41787024,,"(""Fluorodeoxyglucose F18"" OR ""Fludeoxyglucose F 18"" OR ""F-18 FDG"" OR ""18F-FDG"" OR FDG) AND (CCHEN OR Chile OR ""Latin America"" OR ""medical cyclotron"" OR ""hospital cyclotron"" OR ""isotope production"")",2026-05-19
f18_fdg,F-18 FDG / Fludeoxyglucose,EuropePMC,MED42119458,10.1016/j.clinsp.2026.100992,42119458,,A stepwise diagnostic framework for recurrent unexplained fever in adults: an evidence-based review with focus on Latin America.,"Favarato MH, Aguiar VLP, Paiva EF, Mendonça LO.",,2026,https://europepmc.org/article/MED/42119458,"<h4>Background and methods</h4>Recurrent fever is a complex clinical presentation that poses significant diagnostic challenges, particularly when no clear etiology emerges despite extensive investigation. This integrative narrative review provides a comprehensive overview of recurrent fever and proposes a practical diagnostic flowchart focused on the most frequent etiologies, with particular emphasis on the Latin American and Brazilian contexts. Literature from MEDLINE/PubMed, LILACS, and SciELO was reviewed to summarize evidence on epidemiology, differential diagnosis, and diagnostic strategies.<h4>Results</h4>Recurrent fever may arise from infectious diseases, autoimmune or autoinflammatory disorders, malignancies, metabolic or occupational conditions, drug-induced etiologies, and factitious causes. Infections, notably tuberculosis, malaria, leishmaniasis, and endocarditis, remain leading contributors in developing countries. Non-infectious causes such as rheumatologic conditions, neoplasms, and inborn errors of immunity must also be considered, especially in persistent or unexplained cases. A structured, tiered approach to diagnosis is recommended, beginning with basic laboratory and imaging studies, progressing to targeted invasive procedures and advanced modalities such as 18F-FDG PET/CT, and, when appropriate, genomic sequencing. The flowchart proposed in this review emphasizes clinical history, frequent reassessment, and the judicious use of diagnostic resources to balance cost-effectiveness and diagnostic yield. Moreover, distinguishing between inflammatory and non-inflammatory patterns, as well as identifying the newly described Syndrome of Undifferentiated Recurrent Fever (SURF), may guide further evaluation. Ultimately, recurrent fever requires a systematic and multidisciplinary approach. Incorporating epidemiological context and advances in molecular and imaging technologies may improve diagnostic accuracy and patient outcomes.","(""Fluorodeoxyglucose F18"" OR ""Fludeoxyglucose F 18"" OR ""F-18 FDG"" OR ""18F-FDG"" OR FDG) AND (CCHEN OR Chile OR ""Latin America"" OR ""medical cyclotron"" OR ""hospital cyclotron"" OR ""isotope production"")",2026-05-19
f18_fdg,F-18 FDG / Fludeoxyglucose,EuropePMC,MED42078485,10.1155/ijbi/3450212,42078485,,Personalized PET Imaging in Gastric Cancer: An Umbrella Review of Meta-Analyses to Guide Radiopharmaceutical Selection and Clinical Indication.,"Amrenova A, Shukirbekova A, Akhelova S, Assilbayeva J, Gurin A, Ualieva M, Kaliyaskarova B, Sarsekeyev A, Mussin NM, Tamadon A.",,2026,https://europepmc.org/article/MED/42078485,"<h4>Background</h4>Gastric cancer remains a leading cause of cancer-related morbidity and mortality worldwide, and accurate imaging is critical for diagnosis, staging, recurrence detection, and prognostic assessment. Positron emission tomography (PET), traditionally performed using <sup>18</sup>F-fluorodeoxyglucose (FDG), has demonstrated variable performance in gastric cancer, particularly for nodal and peritoneal disease. Recently, <sup>68</sup>Ga-labeled fibroblast activation protein inhibitor (FAPI) PET has emerged as a promising alternative, prompting multiple systematic reviews and meta-analyses with heterogeneous findings.<h4>Objective</h4>We are aimed at synthesizing and appraise meta-analytic evidence on PET imaging in gastric cancer, with a focus on radiopharmaceutical-specific performance by clinical indication and certainty of evidence to inform personalized tracer selection.<h4>Methods</h4>An umbrella review was conducted in accordance with PRISMA 2020. The protocol was prospectively registered in the Open Science Framework (OSF). PubMed, Scopus, and Web of Science were searched from inception to December 2025 for systematic reviews and meta-analyses evaluating PET imaging in gastric cancer. Outcomes included diagnostic accuracy, staging and restaging performance, recurrence detection, prognostic associations, methodological quality (AMSTAR-2), and certainty of evidence (GRADE).<h4>Results</h4>Eleven meta-analyses published between 2011 and 2025 were included. FDG PET/CT demonstrated moderate diagnostic performance overall, with high specificity but limited sensitivity for lymph node and peritoneal metastases, while retaining moderate certainty for prognostic assessment based on standardized uptake value (SUV)-derived metrics. In contrast, <sup>68</sup>Ga-FAPI PET generally showed higher pooled sensitivity than FDG for primary tumor detection, nodal disease, peritoneal metastases, and recurrence detection across available meta-analyses, although the cer","(""Fluorodeoxyglucose F18"" OR ""Fludeoxyglucose F 18"" OR ""F-18 FDG"" OR ""18F-FDG"" OR FDG) AND (CCHEN OR Chile OR ""Latin America"" OR ""medical cyclotron"" OR ""hospital cyclotron"" OR ""isotope production"")",2026-05-19
f18_fdg,F-18 FDG / Fludeoxyglucose,EuropePMC,PPRPPR1146480,10.21203/rs.3.rs-8604030/v1,,,Early Right Ventricular Injury and Myocardial Metabolic Changes After Contemporary Thoracic Radiotherapy: The CONNECT study,"Ntentas G, Reyes E, Owczarczyk K, Maharajan V, Bell A, Crawley R, Ahmad S, Smith D, Qureshi A, Brady J, Smith D, Vincze T, Jeljeli S, Prieto C, Lyon A, Marber M, Barrington S, Mikhaeel NG, Nazir M.",,2026,https://europepmc.org/article/PPR/PPR1146480,"<title>Abstract</title> <p>Background Radiation-related cardiovascular disease (CVD) is a major concern for cancer survivors, yet few methods exist to detect early cardiac injury within the first year of thoracic radiotherapy. Surveillance has largely focused on the left ventricle (LV), with little attention given to the right heart which may be particularly vulnerable to radiation due to its thin wall and anterior anatomical location. We aimed to prospectively evaluate potential early multimodality biomarkers of radiation-related cardiotoxicity and examine their association with radiation dose considering the whole heart and individual chambers. Methods CONNECT was a prospective, longitudinal study enrolling patients receiving thoracic radiotherapy for lymphoma, oesophageal, or lung cancer. Participants had multimodality assessments at baseline, after anthracycline-based chemotherapy (lymphoma only), within 2 weeks after radiotherapy and after 6 months, including simultaneous cardiac 18F- fluoro-2-deoxy-D-glucose (18F-FDG) PET/MRI, serum biomarkers and 12-lead ECG. Associations between findings and radiation doses to the heart were examined. Results Twenty-four patients (72 PET/MRI scans) were analysed. Both LVEF and RVEF declined early, but only RVEF remained persistently reduced at 6 months (−5.9%, p=0.004), with ≥10% decline in 40% of patients. Abnormal 18F-FDG uptake emerged in 35% of patients at 6 months, localised to the basal myocardium. Both reduction in RVEF and abnormal uptake were correlated with cardiac doses. Relative LV global longitudinal strain was impaired (>15%) at 6 months in 35% of patients. Troponin rises were modest, transient, and not predictive of dysfunction at 6 months. T1, T2, late gadolinium enhancement and ECG showed no change. Conclusions CONNECT demonstrates that persistent early radiation-related cardiotoxicity is right sided-predominant, dose-dependent, and accompanied by left ventricular myocardial metabolic changes. These findings","(""Fluorodeoxyglucose F18"" OR ""Fludeoxyglucose F 18"" OR ""F-18 FDG"" OR ""18F-FDG"" OR FDG) AND (CCHEN OR Chile OR ""Latin America"" OR ""medical cyclotron"" OR ""hospital cyclotron"" OR ""isotope production"")",2026-05-19
f18_fdg,F-18 FDG / Fludeoxyglucose,EuropePMC,MED41669584,10.7759/cureus.101195,41669584,PMC12883486,The Role of 68Ga-Pentixafor and 18F-Fluorodeoxyglucose (18F-FDG) PET/CT in a Case of Multiple Myeloma.,"Kumar A, Chaudhuri T, Pradhan M, Singh P, Gupta B.",,2026,https://europepmc.org/article/MED/41669584,"Multiple myeloma (MM) is a type of blood cancer affecting plasma cells in the bone marrow. The diagnosis of MM involves blood and urine tests to demonstrate monoclonal proteins. Imaging modalities such as MRI combined with positron emission tomography (PET) are used for the detection and staging of MM. 18F-fluorodeoxyglucose (18F-FDG) has been used extensively for the staging of multiple myeloma. Another PET imaging modality targeting C-X-C chemokine receptor type 4 (CXCR4) has been recently evaluated for the staging of MM. CXCR4 is a protein receptor expressed on plasma cells, and the radiolabelled Pentixafor radiotracer targets these receptors and is therefore used in PET imaging. In this case report, we compare FDG and CXCR4 PET radiotracers for staging MM.","(""Fluorodeoxyglucose F18"" OR ""Fludeoxyglucose F 18"" OR ""F-18 FDG"" OR ""18F-FDG"" OR FDG) AND (CCHEN OR Chile OR ""Latin America"" OR ""medical cyclotron"" OR ""hospital cyclotron"" OR ""isotope production"")",2026-05-19
f18_fdg,F-18 FDG / Fludeoxyglucose,EuropePMC,PMCPMC12747173,,,PMC12747173,Abstracts of AOCNMB and SNMICON 2025,,,2025,https://europepmc.org/article/PMC/PMC12747173,,"(""Fluorodeoxyglucose F18"" OR ""Fludeoxyglucose F 18"" OR ""F-18 FDG"" OR ""18F-FDG"" OR FDG) AND (CCHEN OR Chile OR ""Latin America"" OR ""medical cyclotron"" OR ""hospital cyclotron"" OR ""isotope production"")",2026-05-19
f18_fdg,F-18 FDG / Fludeoxyglucose,EuropePMC,MED41835715,10.7759/cureus.103492,41835715,PMC12988839,Clinical Utility of 18F-Fluorodeoxyglucose Positron Emission Tomography/Computed Tomography (FDG-PET/CT) in Suspected Spondylodiscitis: A Case Report.,"Gutierrez Albenda D, Balmaceda Araya E, Armani Arce V, Osawa Pivovarov A, Montoya Porras Á.",,2026,https://europepmc.org/article/MED/41835715,"Nuclear medicine has undergone remarkable advances in recent decades. Among these, 18F-fluorodeoxyglucose positron emission tomography/computed tomography (FDG-PET/CT) has become a key imaging modality, enabling metabolic assessment of tissues and precise anatomical correlation, thereby improving diagnostic accuracy. We present the case of a 64-year-old woman with fever, pain, and a deteriorated general condition, initially suspected of having a hip prosthesis infection. FDG-PET/CT imaging played a pivotal role in suggesting the diagnosis of spondylodiscitis. We also discuss the relevance of this modality, its broad range of current clinical applications, and its specific utility in diagnosing and managing spinal infections.","(""Fluorodeoxyglucose F18"" OR ""Fludeoxyglucose F 18"" OR ""F-18 FDG"" OR ""18F-FDG"" OR FDG) AND (CCHEN OR Chile OR ""Latin America"" OR ""medical cyclotron"" OR ""hospital cyclotron"" OR ""isotope production"")",2026-05-19
f18_fdg,F-18 FDG / Fludeoxyglucose,EuropePMC,MED40887392,10.1016/j.neurot.2025.e00720,40887392,PMC12664436,Multi-tracer PET and MR imaging visualize distinct metabolic and inflammatory profiles in the white matter of NMOSD and MOGAD.,"Bai S, Shao H, Yang H, Wang K, Zhang C, Li Q, Ding J, Xie C, Xue T, Hao Y, Liu J, Guan Y.",,2025,https://europepmc.org/article/MED/40887392,"This study investigates distinct neuroinflammatory patterns in neuromyelitis optica spectrum disorder (NMOSD) and myelin oligodendrocyte glycoprotein antibody disease (MOGAD) using multi-tracer PET and MR imaging. Eight NMOSD (5F/3M; median age 36.5) and six MOGAD patients (2F/4M; median age 34.0) underwent PET scans with [<sup>18</sup>F]FDG (glucose metabolism), the translocator protein (TSPO) ligand [<sup>18</sup>F]PBR06 (glial activation), and [<sup>11</sup>C]acetate (astrocyte metabolism), integrated with synchronous 3T MRI sequences. Standardized uptake value ratios (SUVRs) referenced to contralateral white matter (WM) or whole brain were statistically compared across specific anatomic regions: active lesions, normal-appearing WM (NAWM), and periventricular zones. Both groups exhibited elevated [<sup>18</sup>F]PBR06 SUVR within lesions compared to contralateral WM, marking microgliosis. Crucially, NMOSD lesions showed significantly lower [<sup>18</sup>F]FDG SUVR (p ​= ​0.01; metabolic impairment) and [<sup>11</sup>C]acetate SUVR (astrocyte dysfunction) than MOGAD lesions. Lesional [<sup>18</sup>F]PBR06 uptake correlated significantly with [<sup>18</sup>F]FDG uptake. Beyond lesions, NMOSD patients had higher [<sup>18</sup>F]FDG SUVR in cerebellar WM (p ​< ​0.01) and periventricular regions near the fourth ventricle (p ​= ​0.01), and higher [<sup>18</sup>F]PBR06 SUVR in cerebral WM (p ​= ​0.03), contrasted with MOGAD. With lesions in both disorders demonstrating microgliosis, NMOSD exhibited more severe lesion-specific metabolic suppression and astrocyte dysfunction, reflected in reduced [<sup>11</sup>C]acetate uptake, coupled with regional inflammation (microgliosis) and hypermetabolism. These differential multi-tracer PET patterns, especially the combined reduction in lesional astrocytic ([<sup>11</sup>C]acetate) and metabolic ([<sup>18</sup>F]FDG) markers in NMOSD versus MOGAD, highlight multimodal PET/MRI as a powerful tool for differentiating NMOSD and MOGAD","(""Fluorodeoxyglucose F18"" OR ""Fludeoxyglucose F 18"" OR ""F-18 FDG"" OR ""18F-FDG"" OR FDG) AND (CCHEN OR Chile OR ""Latin America"" OR ""medical cyclotron"" OR ""hospital cyclotron"" OR ""isotope production"")",2026-05-19
