seed_key,seed_label,source_system,source_id,doi,pmid,pmcid,title,journal,year,url,curation_decision,information_type,relation_scope,review_decision,review_theme,publish_scope,recommended_action,review_rationale,matched_technical_terms,matched_clinical_terms,matched_geo,query,fetched_at,curated_at,reviewed_at
control_calidad_radiofarmacos,Control de calidad de radiofármacos,EuropePMC,MED34888329,10.3389/fmed.2021.768376,34888329,PMC8650306,"A Proposal of a Combined Convergence Regulatory Strategy Applied to Post-approval Changes by Latin American Countries, Reducing Workload and Allowing Continuous Improvement to Guarantee the Quality, Safety, and Efficacy of Medicines.",,2021,https://europepmc.org/article/MED/34888329,revisar_manual,otro_revisar,revisar_manual,mantener_baja_prioridad,regulatorio_calidad_no_radiofarmacia,auditoria_no_tablero_principal,Conservar como referencia secundaria; no publicar en tablero principal de radiofarmacia.,"Tema regulatorio/GMP/salud con contexto regional, pero sin senal especifica de radiofarmaco.",,,chile; latin america; latin american; brazil; argentina; mexico; colombia; peru,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
control_calidad_radiofarmacos,Control de calidad de radiofármacos,EuropePMC,MED39696714,10.1186/s40659-024-00574-2,39696714,PMC11657627,"A snapshot of cancer in Chile II: an update on research, strategies and analytical frameworks for equity, innovation and national development.",,2024,https://europepmc.org/article/MED/39696714,revisar_manual,otro_revisar,revisar_manual,mantener_baja_prioridad,regulatorio_calidad_no_radiofarmacia,auditoria_no_tablero_principal,Conservar como referencia secundaria; no publicar en tablero principal de radiofarmacia.,"Tema regulatorio/GMP/salud con contexto regional, pero sin senal especifica de radiofarmaco.",,,chile,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
control_calidad_radiofarmacos,Control de calidad de radiofármacos,EuropePMC,MED41902276,10.3390/v18030368,41902276,PMC13030339,"Bacteriophages as Food Biocontrol Agents: A One Health Framework for Manufacturing Quality, Regulatory Governance, and Ethical Stewardship-A Narrative Review.",,2026,https://europepmc.org/article/MED/41902276,revisar_manual,otro_revisar,revisar_manual,mantener_baja_prioridad,regulatorio_calidad_no_radiofarmacia,auditoria_no_tablero_principal,Conservar como referencia secundaria; no publicar en tablero principal de radiofarmacia.,"Tema regulatorio/GMP/salud con contexto regional, pero sin senal especifica de radiofarmaco.",,,,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
control_calidad_radiofarmacos,Control de calidad de radiofármacos,PubMed,29274820,10.1016/j.xphs.2017.12.014,29274820,,"Characterization and Stability of Trypanosoma cruzi 24-C4 (Tc24-C4), a Candidate Antigen for a Therapeutic Vaccine Against Chagas Disease.",Journal of pharmaceutical sciences,2018,https://pubmed.ncbi.nlm.nih.gov/29274820/,revisar_manual,otro_revisar,revisar_manual,mantener_baja_prioridad,regulatorio_calidad_no_radiofarmacia,auditoria_no_tablero_principal,Conservar como referencia secundaria; no publicar en tablero principal de radiofarmacia.,"Tema regulatorio/GMP/salud con contexto regional, pero sin senal especifica de radiofarmaco.",,,latin america,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
control_calidad_radiofarmacos,Control de calidad de radiofármacos,PubMed,27418809,10.2147/DDDT.S106802,27418809,PMC3640626,"Clinical implications for substandard, nonproprietary medicines in multiple sclerosis: focus on fingolimod.","Drug design, development and therapy",2016,https://pubmed.ncbi.nlm.nih.gov/27418809/,revisar_manual,otro_revisar,revisar_manual,mantener_baja_prioridad,regulatorio_calidad_no_radiofarmacia,auditoria_no_tablero_principal,Conservar como referencia secundaria; no publicar en tablero principal de radiofarmacia.,"Tema regulatorio/GMP/salud con contexto regional, pero sin senal especifica de radiofarmaco.",,,,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
control_calidad_radiofarmacos,Control de calidad de radiofármacos,EuropePMC,MED36743162,10.3389/fpubh.2022.1021905,36743162,PMC9891391,Current GMP standards for the production of vaccines and antibodies: An overview.,,2022,https://europepmc.org/article/MED/36743162,revisar_manual,otro_revisar,revisar_manual,mantener_baja_prioridad,regulatorio_calidad_no_radiofarmacia,auditoria_no_tablero_principal,Conservar como referencia secundaria; no publicar en tablero principal de radiofarmacia.,"Tema regulatorio/GMP/salud con contexto regional, pero sin senal especifica de radiofarmaco.",,,latin america,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
control_calidad_radiofarmacos,Control de calidad de radiofármacos,PubMed,28991670,10.1016/j.jns.2017.08.3242,28991670,,Follow-on products for treatment of multiple sclerosis in Latin America: An update.,Journal of the neurological sciences,2017,https://pubmed.ncbi.nlm.nih.gov/28991670/,revisar_manual,otro_revisar,revisar_manual,mantener_baja_prioridad,regulatorio_calidad_no_radiofarmacia,auditoria_no_tablero_principal,Conservar como referencia secundaria; no publicar en tablero principal de radiofarmacia.,"Tema regulatorio/GMP/salud con contexto regional, pero sin senal especifica de radiofarmaco.",,,latin america,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
control_calidad_radiofarmacos,Control de calidad de radiofármacos,EuropePMC,MED41540511,10.1186/s40249-025-01398-2,41540511,PMC12810004,From dogma to data: charting a path forward for clinico-immunological research in Ethiopian cutaneous leishmaniasis.,,2026,https://europepmc.org/article/MED/41540511,revisar_manual,otro_revisar,revisar_manual,mantener_baja_prioridad,regulatorio_calidad_no_radiofarmacia,auditoria_no_tablero_principal,Conservar como referencia secundaria; no publicar en tablero principal de radiofarmacia.,"Tema regulatorio/GMP/salud con contexto regional, pero sin senal especifica de radiofarmaco.",,,latin america; latin american,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
control_calidad_radiofarmacos,Control de calidad de radiofármacos,PubMed,26957307,10.1097/CAD.0b013e32834f6271,26957307,PMC3693733,GMP-grade α-TEA lysine salt: a 28-Day oral toxicity and toxicokinetic study with a 28-Day recovery period in Beagle dogs.,BMC cancer,2016,https://pubmed.ncbi.nlm.nih.gov/26957307/,revisar_manual,otro_revisar,revisar_manual,mantener_baja_prioridad,regulatorio_calidad_no_radiofarmacia,auditoria_no_tablero_principal,Conservar como referencia secundaria; no publicar en tablero principal de radiofarmacia.,"Tema regulatorio/GMP/salud con contexto regional, pero sin senal especifica de radiofarmaco.",,,,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
control_calidad_radiofarmacos,Control de calidad de radiofármacos,EuropePMC,MED40581695,10.1007/s43441-025-00824-9,40581695,PMC12446411,Reliance into Action : Understanding EMA Documents to Streamline Reliance for Marketing Authorization Applications.,,2025,https://europepmc.org/article/MED/40581695,revisar_manual,otro_revisar,revisar_manual,mantener_baja_prioridad,regulatorio_calidad_no_radiofarmacia,auditoria_no_tablero_principal,Conservar como referencia secundaria; no publicar en tablero principal de radiofarmacia.,"Tema regulatorio/GMP/salud con contexto regional, pero sin senal especifica de radiofarmaco.",,,,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
