artifact,group_field,group_value,records,generated_at
radiofarmacia_literature_reviewed,review_decision,descartar_ruido,71,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,review_decision,mantener_baja_prioridad,17,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,review_decision,mantener_vigilancia,132,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,review_decision,publicar_recurrente,31,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,review_theme,clinico_contextual_no_especifico,6,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,review_theme,dosimetria_seguridad_radiologica,34,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,review_theme,paper_clinico_pet_spect,6,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,review_theme,produccion_ciclotron_control_calidad,29,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,review_theme,radiofarmacia_clinica_o_tecnica,19,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,review_theme,radiofarmaco_teranostico_compuesto,75,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,review_theme,regulatorio_calidad_no_radiofarmacia,11,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,review_theme,ruido_biomedico_o_conferencia,29,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,review_theme,ruido_probable,17,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,review_theme,sin_senal_radiofarmacia_cchen,24,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,review_theme,sin_titulo_o_metadata_insuficiente,1,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,publish_scope,auditoria_no_tablero_principal,17,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,publish_scope,no_publicar,71,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,publish_scope,tablero_principal,31,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,publish_scope,vigilancia,132,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,seed_key,ciclotron_f18,39,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,seed_key,control_calidad_radiofarmacos,31,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,seed_key,dosimetria_medicina_nuclear,26,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,seed_key,f18_fdg,39,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,seed_key,ga68_dotatate,21,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,seed_key,i131,40,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,seed_key,lu177_dotatate,16,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,seed_key,tc99m_sestamibi,39,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,source_system,EuropePMC,151,2026-05-19T20:52:42
radiofarmacia_literature_reviewed,source_system,PubMed,100,2026-05-19T20:52:42
