seed_key,seed_label,source_system,query,records_written,status,error_summary,fetched_at
f18_fdg,F-18 FDG / Fludeoxyglucose,PubChem,Fludeoxyglucose F-18,1,success,,2026-05-19
f18_fdg,F-18 FDG / Fludeoxyglucose,PubChem,Fluorodeoxyglucose F18,1,success,,2026-05-19
f18_fdg,F-18 FDG / Fludeoxyglucose,EuropePMC,"(""Fluorodeoxyglucose F18"" OR ""Fludeoxyglucose F 18"" OR ""F-18 FDG"" OR ""18F-FDG"" OR FDG) AND (CCHEN OR Chile OR ""Latin America"" OR ""medical cyclotron"" OR ""hospital cyclotron"" OR ""isotope production"")",20,success,,2026-05-19
f18_fdg,F-18 FDG / Fludeoxyglucose,PubMed,"(""Fluorodeoxyglucose F18"" OR ""Fludeoxyglucose F 18"" OR ""F-18 FDG"" OR ""18F-FDG"" OR FDG) AND (CCHEN OR Chile OR ""Latin America"" OR ""medical cyclotron"" OR ""hospital cyclotron"" OR ""isotope production"")",19,success,,2026-05-19
ga68_dotatate,Ga-68 DOTATATE,PubChem,Gallium Ga 68 dotatate,1,success,,2026-05-19
ga68_dotatate,Ga-68 DOTATATE,PubChem,68Ga-DOTATATE,1,success,,2026-05-19
ga68_dotatate,Ga-68 DOTATATE,EuropePMC,"(""Ga-68 DOTATATE"" OR ""Gallium-68 DOTATATE"" OR ""68Ga-DOTATATE"") AND (CCHEN OR Chile OR ""Latin America"")",20,success,,2026-05-19
ga68_dotatate,Ga-68 DOTATATE,PubMed,"(""Ga-68 DOTATATE"" OR ""Gallium-68 DOTATATE"" OR ""68Ga-DOTATATE"") AND (CCHEN OR Chile OR ""Latin America"")",1,success,,2026-05-19
lu177_dotatate,Lu-177 DOTATATE,PubChem,Lutetium Lu 177 dotatate,1,success,,2026-05-19
lu177_dotatate,Lu-177 DOTATATE,PubChem,177Lu-DOTATATE,1,success,,2026-05-19
lu177_dotatate,Lu-177 DOTATATE,EuropePMC,"(""Lu-177 DOTATATE"" OR ""Lutetium-177 DOTATATE"" OR ""177Lu-DOTATATE"") AND (CCHEN OR Chile OR ""Latin America"")",20,success,,2026-05-19
lu177_dotatate,Lu-177 DOTATATE,PubMed,"(""Lu-177 DOTATATE"" OR ""Lutetium-177 DOTATATE"" OR ""177Lu-DOTATATE"") AND (CCHEN OR Chile OR ""Latin America"")",0,success_zero_records,,2026-05-19
tc99m_sestamibi,Tc-99m sestamibi,PubChem,Technetium Tc 99m sestamibi,2,success,,2026-05-19
tc99m_sestamibi,Tc-99m sestamibi,PubChem,Technetium (99mTc) sestamibi,1,success,,2026-05-19
tc99m_sestamibi,Tc-99m sestamibi,EuropePMC,"(""Tc-99m sestamibi"" OR ""Technetium Tc 99m sestamibi"" OR ""99mTc-sestamibi"") AND (CCHEN OR Chile OR ""Latin America"")",20,success,,2026-05-19
tc99m_sestamibi,Tc-99m sestamibi,PubMed,"(""Tc-99m sestamibi"" OR ""Technetium Tc 99m sestamibi"" OR ""99mTc-sestamibi"") AND (CCHEN OR Chile OR ""Latin America"")",20,success,,2026-05-19
i131,I-131,PubChem,Iodine I 131,1,success,,2026-05-19
i131,I-131,PubChem,Iodine-131,1,success,,2026-05-19
i131,I-131,EuropePMC,"(""I-131"" OR ""Iodine-131"" OR radioiodine) AND (CCHEN OR Chile OR ""Latin America"" OR radioprotection)",20,success,,2026-05-19
i131,I-131,PubMed,"(""I-131"" OR ""Iodine-131"" OR radioiodine) AND (CCHEN OR Chile OR ""Latin America"" OR radioprotection)",20,success,,2026-05-19
ciclotron_f18,Ciclotrón / producción F-18,PubChem,,0,skipped_no_compound_seed,,2026-05-19
ciclotron_f18,Ciclotrón / producción F-18,EuropePMC,"(cyclotron OR ciclotron OR ""fluorine-18"" OR ""fluor-18"" OR ""F-18"") AND (CCHEN OR Chile OR ""Latin America"" OR ""isotope production"" OR ""medical cyclotron"")",20,success,,2026-05-19
ciclotron_f18,Ciclotrón / producción F-18,PubMed,"(cyclotron OR ciclotron OR ""fluorine-18"" OR ""fluor-18"" OR ""F-18"") AND (CCHEN OR Chile OR ""Latin America"" OR ""isotope production"" OR ""medical cyclotron"")",20,success,,2026-05-19
control_calidad_radiofarmacos,Control de calidad de radiofármacos,PubChem,,0,skipped_no_compound_seed,,2026-05-19
control_calidad_radiofarmacos,Control de calidad de radiofármacos,EuropePMC,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",20,success,,2026-05-19
control_calidad_radiofarmacos,Control de calidad de radiofármacos,PubMed,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",11,success,,2026-05-19
dosimetria_medicina_nuclear,Dosimetría en medicina nuclear,PubChem,,0,skipped_no_compound_seed,,2026-05-19
dosimetria_medicina_nuclear,Dosimetría en medicina nuclear,EuropePMC,"(""nuclear medicine dosimetry"" OR ""dosimetria medicina nuclear"" OR ""internal dosimetry"") AND (CCHEN OR Chile OR ""Latin America"")",20,success,,2026-05-19
dosimetria_medicina_nuclear,Dosimetría en medicina nuclear,PubMed,"(""nuclear medicine dosimetry"" OR ""dosimetria medicina nuclear"" OR ""internal dosimetry"") AND (CCHEN OR Chile OR ""Latin America"")",9,success,,2026-05-19
